Iterations,Value,Algorithm,FileID
2100000,2374334.88,shade,15
2400000,2135676.88,shade,15
2700000,1937347.68,shade,15
3000000,1767032.76,shade,15
120000,21746408.8,ERDGshade,15
300000,10660882.44,ERDGshade,15
600000,6328957.4,ERDGshade,15
900000,4626653.16,ERDGshade,15
1200000,3710320.12,ERDGshade,15
1500000,3103783.24,ERDGshade,15
1800000,2667375.88,ERDGshade,15
2100000,2361278.48,ERDGshade,15
2400000,2134573.12,ERDGshade,15
2700000,1943481.68,ERDGshade,15
3000000,2073932.0,ERDGshade,15
120000,45659856.0,shadeils,15
300000,12434468.76,shadeils,15
600000,5920863.72,shadeils,15
900000,3182012.44,shadeils,15
1200000,2108018.56,shadeils,15
1500000,1685791.56,shadeils,15
1800000,1518244.2680000002,shadeils,15
2100000,1429955.744,shadeils,15
2400000,1287724.62,shadeils,15
2700000,1167370.7040000001,shadeils,15
3000000,1089051.88,shadeils,15
120000,46021109.2,ERDGshadeils,15
300000,13051515.72,ERDGshadeils,15
600000,6131461.48,ERDGshadeils,15
900000,3399773.04,ERDGshadeils,15
1200000,2191797.44,ERDGshadeils,15
1500000,1679393.96,ERDGshadeils,15
1800000,1496019.72,ERDGshadeils,15
2100000,1396599.024,ERDGshadeils,15
2400000,1282095.5559999999,ERDGshadeils,15
2700000,1183257.64,ERDGshadeils,15
3000000,1129165.744,ERDGshadeils,15
